日付,猫,タイミング,ラプロス,ラクツロース,クランベリBB,クラバセプチン,ビブラマイシン,ウロアクト,UT Clean,ベラフロックス,食欲増進薬,その他
2025/12/24,ラッキー,朝,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
2025/12/24,ラッキー,夜,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/25,ラッキー,朝,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/25,ラッキー,夜,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/26,ラッキー,朝,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/26,ラッキー,夜,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
2025/12/27,ラッキー,朝,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,クランベリBB開始
2025/12/27,ラッキー,夜,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/28,ラッキー,朝,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/28,ラッキー,夜,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/29,ラッキー,朝,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,クラバセプチン再開
2025/12/29,ラッキー,夜,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/30,ラッキー,朝,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/30,ラッキー,夜,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/31,ラッキー,朝,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,

